full_name,age,gender,job,avg_salary
Tally McClinton,44,Female,Developer IV,41759
Terry Yurocjkin,41,Female,Quality Engineer,30369
Malva Cockrell,34,Polygender,Senior Financial Analyst,97316
Raye Kellog,31,Female,Account Representative III,25947
Connie Persent,22,Male,Nuclear Power Engineer,92634
Renell Meneur,35,Female,Administrative Assistant II,81275
Karel Smittoune,56,Female,Software Test Engineer I,85334
Sim Kingzeth,29,Male,Quality Control Specialist,37525
Shani Passo,22,Female,Teacher,73824
Otes Heckle,44,Male,Senior Editor,53572
Courtnay Simecek,20,Female,Environmental Tech,81563
Garvin McKinnon,55,Male,Geological Engineer,27246
Etienne Guthrie,32,Male,Community Outreach Specialist,65614
Prescott Metson,62,Male,Biostatistician I,80709
Lyle Myderscough,19,Male,Administrative Officer,92563
Donella Klais,58,Female,Safety Technician III,31461
Bradford Fish,25,Male,Accountant III,13259
Melanie Yeskin,46,Bigender,Help Desk Technician,81637
Albert Herrieven,47,Male,Health Coach I,56570
Mariana Jollands,45,Female,VP Quality Control,76935
Ann-marie Risby,42,Female,Pharmacist,94837
Thurston Van den Velden,28,Male,Assistant Professor,34368
Tiebout Shotter,20,Male,Associate Professor,42277
Shirley Wasson,62,Female,Product Engineer,21666
Danella Birth,64,Female,Research Nurse,16417
Hendrik Norssister,56,Male,Media Manager III,81884
Cart Plumbley,51,Male,Automation Specialist III,88080
Raynor Witsey,27,Male,VP Sales,72362
Terence Doody,61,Male,Operator,80176
Kristi Dormon,48,Female,Food Chemist,55264
Danny Godsafe,44,Bigender,Web Developer II,96182
Mady Lenthall,43,Female,Research Associate,92952
Korie Defraine,52,Female,Research Assistant I,19090
Avrit MacParlan,37,Female,Help Desk Operator,70082
Sauveur Diben,45,Male,Account Executive,49999
Eda Wandtke,63,Female,Research Assistant II,52398
Liliane Arondel,59,Female,Operator,88735
Silvano Mishow,62,Male,Teacher,19066
Elnore MacRorie,49,Female,Data Coordinator,25782
Ringo Kinsley,60,Male,Senior Cost Accountant,67223
Gabriell Newson,55,Female,Geological Engineer,30544
Westbrooke Heinsius,53,Male,Research Nurse,92935
Leyla Hurton,40,Female,Senior Developer,51814
Gherardo Creasey,54,Male,Electrical Engineer,60934
Jamie Biesty,56,Male,Director of Sales,64547
Ramsay Timby,45,Male,Physical Therapy Assistant,66006
Janeczka Norridge,32,Female,Accounting Assistant IV,34040
Berkie Ropartz,55,Male,Dental Hygienist,53475
Timmie Bartoszewski,52,Female,Staff Accountant IV,48516
Danyette Cooksey,35,Female,Occupational Therapist,27623
Garvey Patis,49,Male,Electrical Engineer,90867
Elwood Overnell,60,Male,GIS Technical Architect,95613
Clarice Veale,36,Female,Sales Associate,58035
Decca Hudless,63,Male,Database Administrator I,68350
Rudiger Fassam,43,Male,Software Test Engineer IV,97602
Layney Quene,63,Female,Help Desk Technician,58964
Franciskus Cattermull,59,Male,Health Coach IV,42947
Charil Mattia,19,Female,Senior Cost Accountant,99372
Hughie Vasilyevski,26,Male,Recruiting Manager,16793
Theressa Rudyard,50,Female,Budget/Accounting Analyst I,58064
Kenton Beverstock,53,Male,Social Worker,86863
Ysabel Glison,54,Female,Nurse Practicioner,74134
Juliane Salmen,59,Female,Account Coordinator,25934
Brice Cawsey,48,Male,Environmental Tech,25394
Cris Slowgrave,48,Male,Administrative Officer,88850
Sibel Linggard,38,Female,Associate Professor,90414
Cathrin Test,30,Female,Senior Financial Analyst,14818
Daniele Shadbolt,28,Female,Developer IV,93496
Huberto Tutchings,60,Male,Information Systems Manager,88229
Lynette Tolland,64,Female,Statistician I,56790
Tamqrah Dory,28,Genderqueer,Nurse Practicioner,59523
Virgil Pincott,25,Male,Internal Auditor,64322
Vasily Bowart,64,Male,VP Product Management,74769
Burk Cocking,21,Male,Health Coach III,27528
Sigfried Lodeke,49,Male,Paralegal,27298
Nigel Wretham,35,Male,Community Outreach Specialist,73325
Em Stanner,26,Female,VP Product Management,93554
Gabrila Miettinen,56,Female,Internal Auditor,24428
Lyndsie Grigoriev,58,Female,Help Desk Technician,27289
Henrietta Cremer,36,Female,Accountant II,78158
Raf Duligal,48,Female,Junior Executive,84862
Benedetta Le-Good,21,Female,Recruiting Manager,47138
Lay Simoneau,32,Male,Safety Technician IV,21312
Adel Giercke,32,Female,Quality Engineer,54157
Stoddard Barok,27,Female,Help Desk Technician,29045
Leda Haacker,60,Female,Geological Engineer,53814
Tyne Peele,30,Female,Analyst Programmer,32446
Kane Takis,55,Male,Accounting Assistant I,59024
Lorain Applewhite,48,Genderqueer,Administrative Assistant I,15981
Gui Robottom,20,Female,Recruiting Manager,63919
Shaw Jarmyn,51,Male,Librarian,83581
Aron Cann,37,Male,Speech Pathologist,79702
Kandy Klaaasen,58,Female,Geologist II,52906
Linus Betun,35,Male,Analyst Programmer,15142
Yale Hubane,59,Male,Compensation Analyst,42092
Hy Sleath,57,Male,Administrative Officer,20383
Angie Hackley,35,Female,Engineer IV,94511
Franny Gribbin,45,Male,Marketing Assistant,24859
Tobe Bidnall,18,Male,Geological Engineer,16614
Celina Serginson,49,Female,Analyst Programmer,21028
